n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,hard,side,first_only,dte_min,n_tgt,n_stp,n_hard,n_trail,pass
127,55.1,1.39,147.4,1.16,3.34,77,51.9,1.63,50,60.0,6.33,quiet_or4070,fly_mtm_8_8,1515,BOTH,False,0,51,30,46,0,True
127,50.4,1.5,238.8,1.88,3.34,77,46.8,2.76,50,56.0,4.33,quiet_or4070,fly_mtm_25_12,1430,BOTH,False,0,13,20,94,0,True
152,53.3,1.71,328.9,2.16,3.31,93,54.8,3.39,59,50.8,3.19,quiet_mid,fly_trail_8_5,1515,BOTH,False,0,0,39,70,43,True
332,50.9,1.42,176.4,0.53,3.3,161,55.3,4.37,171,46.8,2.06,or29_quiet_h2,fly_spot_30_20,1515,BOTH,False,0,168,162,2,0,True
152,53.9,1.61,263.8,1.74,3.29,93,54.8,3.32,59,52.5,3.21,quiet_mid,fly_trail_8_5,1430,BOTH,False,0,0,35,83,34,True
154,55.2,1.43,169.3,1.1,3.28,93,55.9,4.36,61,54.1,2.11,quiet_e1030,fly_mtm_6_6,1430,BOTH,False,0,72,47,35,0,True
154,53.9,1.59,123.5,0.8,3.28,93,50.5,3.35,61,59.0,3.15,quiet_e1030,fly_spot_30_20,1515,BOTH,False,0,82,72,0,0,True
332,51.8,1.57,545.0,1.64,3.28,161,53.4,3.37,171,50.3,3.17,or29_quiet_h2,fly_trail_6_5,1515,BOTH,False,0,0,123,108,101,True
171,55.0,1.4,205.8,1.2,3.26,104,54.8,3.6,67,55.2,2.74,quiet_e1100,fly_side_12_8_6_8,1430,BOTH,False,0,56,46,69,0,True
152,52.6,1.49,240.7,1.58,3.25,93,52.7,3.59,59,52.5,2.74,quiet_mid,fly_side_16_10_8_8,1430,BOTH,False,0,42,37,73,0,True
127,52.0,1.42,145.9,1.15,3.25,77,49.4,2.48,50,56.0,4.31,quiet_or4070,fly_mtm_8_6,1515,BOTH,False,0,49,44,34,0,True
127,51.2,1.53,205.7,1.62,3.25,77,50.6,3.13,50,52.0,3.45,quiet_or4070,fly_trail_8_8,1430,BOTH,False,0,0,26,78,23,True
188,50.5,1.32,171.7,0.91,3.25,111,53.2,4.42,77,46.8,1.53,quiet_h2_e1030,fly_mtm_8_6,1430,BOTH,False,0,74,73,41,0,True
154,52.6,1.44,183.1,1.19,3.24,93,53.8,4.5,61,50.8,1.88,quiet_e1030,fly_mtm_8_6,1430,BOTH,False,0,57,50,47,0,True
187,55.6,1.43,202.3,1.08,3.2,112,56.2,4.27,75,54.7,2.22,quiet,fly_trail_6_3,1430,BOTH,False,0,0,56,66,65,True
171,52.0,1.52,270.7,1.58,3.18,104,54.8,3.98,67,47.8,1.89,quiet_e1100,fly_trail_8_8,1430,BOTH,False,0,0,41,97,33,True
152,52.0,1.48,268.9,1.77,3.18,93,52.7,4.07,59,50.8,1.89,quiet_mid,fly_side_20_10_8_10,1515,BOTH,False,0,44,39,69,0,True
171,53.2,1.41,242.3,1.42,3.17,104,52.9,3.58,67,53.7,2.47,quiet_e1100,fly_side_20_10_8_10,1430,BOTH,False,0,40,38,93,0,True
187,52.9,1.39,194.1,1.04,3.16,112,53.6,3.97,75,52.0,2.32,quiet,fly_mtm_8_6,1430,BOTH,False,0,64,60,63,0,True
332,50.9,1.41,168.3,0.51,3.16,161,55.3,4.12,171,46.8,2.05,or29_quiet_h2,fly_spot_30_20,1430,BOTH,False,0,166,162,4,0,True
152,54.6,1.42,192.6,1.27,3.15,93,54.8,3.09,59,54.2,3.24,quiet_mid,fly_mtm_8_8,1515,BOTH,False,0,67,39,46,0,True
152,54.6,1.43,187.2,1.23,3.15,93,54.8,3.04,59,54.2,3.3,quiet_mid,fly_mtm_8_8,1430,BOTH,False,0,58,35,59,0,True
154,51.9,1.44,217.8,1.41,3.14,93,52.7,3.49,61,50.8,2.78,quiet_e1030,fly_trail_8_3,1515,BOTH,False,0,0,43,55,56,True
154,53.2,1.4,164.2,1.07,3.1,93,53.8,4.13,61,52.5,1.89,quiet_e1030,fly_mtm_6_6,1515,BOTH,False,0,76,52,26,0,True
171,50.3,1.44,274.6,1.61,3.08,104,49.0,3.09,67,52.2,3.03,quiet_e1100,fly_mtm_20_10,1430,BOTH,False,0,20,40,111,0,True
127,52.8,1.48,120.5,0.95,3.07,77,54.5,4.14,50,50.0,1.43,quiet_or4070,fly_spot_40_25,1430,BOTH,False,0,61,58,8,0,True
188,51.6,1.45,289.7,1.54,3.07,111,55.0,4.74,77,46.8,0.17,quiet_h2_e1030,fly_trail_8_8,1430,BOTH,False,0,0,61,92,35,True
127,50.4,1.41,145.8,1.15,3.07,77,45.5,2.23,50,58.0,4.25,quiet_or4070,fly_mtm_10_6,1430,BOTH,False,0,33,41,53,0,True
152,54.6,1.5,213.8,1.41,3.06,93,54.8,2.85,59,54.2,3.36,quiet_mid,fly_trail_8_3,1430,BOTH,False,0,0,35,69,48,True
152,53.9,1.44,210.8,1.39,3.06,93,53.8,3.08,59,54.2,3.01,quiet_mid,fly_side_12_8_6_8,1515,BOTH,False,0,55,41,56,0,True
171,52.0,1.35,219.0,1.28,3.06,104,51.0,2.9,67,53.7,3.27,quiet_e1100,fly_side_14_10_8_10,1515,BOTH,False,0,55,43,73,0,True
154,50.6,1.59,294.6,1.91,3.06,93,52.7,3.32,61,47.5,2.59,quiet_e1030,fly_trail_8_5,1515,BOTH,False,0,0,43,66,45,True
127,50.4,1.39,169.6,1.34,3.05,77,45.5,1.68,50,58.0,5.88,quiet_or4070,fly_mtm_14_10,1430,BOTH,False,0,28,24,75,0,True
127,59.1,1.35,121.5,0.96,3.03,77,57.1,2.06,50,62.0,4.55,quiet_or4070,fly_mtm_6_10,1430,BOTH,False,0,59,19,49,0,True
154,54.5,1.46,182.9,1.19,3.02,93,54.8,3.95,61,54.1,2.16,quiet_e1030,fly_trail_6_3,1430,BOTH,False,0,0,47,51,56,True
127,51.2,1.39,182.5,1.44,3.02,77,46.8,1.68,50,58.0,5.62,quiet_or4070,fly_mtm_16_12,1430,BOTH,False,0,25,19,83,0,True
127,50.4,1.44,220.0,1.73,3.02,77,46.8,2.46,50,56.0,4.01,quiet_or4070,fly_mtm_25_15,1430,BOTH,False,0,13,15,99,0,True
152,57.2,1.39,169.2,1.11,3.01,93,58.1,3.23,59,55.9,2.75,quiet_mid,fly_mtm_6_8,1515,BOTH,False,0,77,36,39,0,True
152,57.2,1.41,164.8,1.08,3.0,93,58.1,3.11,59,55.9,2.88,quiet_mid,fly_mtm_6_8,1430,BOTH,False,0,72,33,47,0,True
187,50.8,1.36,189.7,1.01,3.0,112,51.8,4.01,75,49.3,1.93,quiet,fly_mtm_8_6,1515,BOTH,False,0,72,67,48,0,True
127,50.4,1.37,148.4,1.17,2.99,77,45.5,1.79,50,58.0,5.43,quiet_or4070,fly_mtm_12_8,1430,BOTH,False,0,31,31,65,0,True
127,53.5,1.44,217.9,1.72,2.98,77,51.9,3.31,50,56.0,2.37,quiet_or4070,fly_frac_0.6_0.5,1430,BOTH,False,0,21,22,84,0,True
152,52.0,1.45,236.0,1.55,2.98,93,52.7,4.01,59,50.8,1.36,quiet_mid,fly_side_20_10_8_10,1430,BOTH,False,0,36,33,83,0,True
152,50.7,1.57,263.1,1.73,2.97,93,53.8,3.88,59,45.8,1.51,quiet_mid,fly_trail_8_8,1430,BOTH,False,0,0,35,88,29,True
187,56.7,1.31,169.3,0.91,2.96,112,57.1,3.41,75,56.0,2.43,quiet,fly_mtm_6_8,1515,BOTH,False,0,91,46,50,0,True
152,53.9,1.44,197.4,1.3,2.96,93,53.8,3.11,59,54.2,2.7,quiet_mid,fly_side_12_8_6_8,1430,BOTH,False,0,49,38,65,0,True
188,52.1,1.37,234.7,1.25,2.96,111,55.0,4.85,77,48.1,0.3,quiet_h2_e1030,fly_trail_8_5,1430,BOTH,False,0,0,61,84,43,True
127,50.4,1.42,201.2,1.58,2.96,77,46.8,2.47,50,56.0,3.84,quiet_or4070,fly_mtm_20_12,1430,BOTH,False,0,15,20,92,0,True
427,51.3,1.34,415.9,0.97,2.95,274,51.8,3.19,153,50.3,2.42,lhhl_h2,fly_trail_6_3,1430,BOTH,False,0,0,156,147,124,True
171,50.3,1.41,229.1,1.34,2.95,104,49.0,2.86,67,52.2,3.06,quiet_e1100,fly_mtm_14_8,1430,BOTH,False,0,34,49,88,0,True
187,52.4,1.35,211.9,1.13,2.93,112,52.7,3.08,75,52.0,2.78,quiet,fly_trail_8_3,1515,BOTH,False,0,0,50,75,62,True
127,51.2,1.35,142.8,1.12,2.93,77,46.8,1.06,50,58.0,6.25,quiet_or4070,fly_mtm_10_8,1515,BOTH,False,0,41,33,53,0,True
171,53.8,1.35,201.7,1.18,2.92,104,52.9,2.76,67,55.2,3.14,quiet_e1100,fly_side_14_10_8_10,1430,BOTH,False,0,49,37,85,0,True
127,52.0,1.35,135.6,1.07,2.92,77,46.8,1.48,50,60.0,5.4,quiet_or4070,fly_mtm_10_8,1430,BOTH,False,0,35,29,63,0,True
171,50.9,1.4,244.3,1.43,2.92,104,49.0,2.45,67,53.7,3.62,quiet_e1100,fly_mtm_16_10,1430,BOTH,False,0,29,39,103,0,True
188,54.8,1.27,134.7,0.72,2.91,111,56.8,3.83,77,51.9,1.54,quiet_h2_e1030,fly_mtm_6_6,1430,BOTH,False,0,86,68,34,0,True
154,52.6,1.46,219.8,1.43,2.89,93,53.8,3.11,61,50.8,2.54,quiet_e1030,fly_trail_8_5,1430,BOTH,False,0,0,40,77,37,True
187,51.3,1.48,286.8,1.53,2.89,112,52.7,3.2,75,49.3,2.31,quiet,fly_trail_8_5,1515,BOTH,False,0,0,50,87,50,True
188,51.1,1.43,289.4,1.54,2.89,111,53.2,4.28,77,48.1,0.25,quiet_h2_e1030,fly_trail_8_5,1515,BOTH,False,0,0,66,67,55,True
127,55.1,1.34,128.2,1.01,2.88,77,51.9,1.36,50,60.0,5.4,quiet_or4070,fly_mtm_8_10,1430,BOTH,False,0,48,20,59,0,True
286,51.7,1.52,192.0,0.67,2.85,179,49.2,2.73,107,56.1,3.06,diraware,fly_spot_30_20,1430,BOTH,False,0,147,136,3,0,True
127,51.2,1.44,112.0,0.88,2.85,77,51.9,3.75,50,50.0,1.45,quiet_or4070,fly_spot_40_25,1515,BOTH,False,0,64,61,2,0,True
187,57.2,1.3,158.1,0.85,2.84,112,58.0,3.51,75,56.0,2.11,quiet,fly_mtm_6_8,1430,BOTH,False,0,86,44,57,0,True
427,50.4,1.34,203.1,0.48,2.84,274,51.5,3.1,153,48.4,2.31,lhhl_h2,fly_spot_30_20,1430,BOTH,False,0,213,209,5,0,True
171,54.4,1.35,174.5,1.02,2.82,104,54.8,3.51,67,53.7,1.96,quiet_e1100,fly_side_10_8_6_6,1430,BOTH,False,0,56,51,64,0,True
127,51.2,1.41,203.1,1.6,2.82,77,46.8,1.93,50,58.0,4.54,quiet_or4070,fly_trail_16_3,1430,BOTH,False,0,0,12,97,18,True
171,52.0,1.34,178.4,1.04,2.81,104,52.9,3.54,67,50.7,1.88,quiet_e1100,fly_side_10_8_6_6,1515,BOTH,False,0,65,57,49,0,True
187,50.8,1.33,220.8,1.18,2.81,112,50.0,2.61,75,52.0,3.1,quiet,fly_side_16_10_8_8,1515,BOTH,False,0,54,54,79,0,True
154,56.5,1.33,145.3,0.94,2.8,93,57.0,3.45,61,55.7,2.02,quiet_e1030,fly_mtm_6_8,1430,BOTH,False,0,74,38,42,0,True
187,52.4,1.31,193.7,1.04,2.8,112,52.7,3.22,75,52.0,2.21,quiet,fly_side_12_8_6_8,1515,BOTH,False,0,65,53,69,0,True
171,56.7,1.32,166.8,0.98,2.79,104,56.7,2.75,67,56.7,2.85,quiet_e1100,fly_mtm_8_10,1430,BOTH,False,0,64,32,75,0,True
