day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2024-09-18,LONG,TARGET,1,25431.75,25481.75,42.5,-5.67,-4.99,0.68,-8.4,-7.78,0.62,-11.37,-10.83,0.54,-14.52,-14.1,0.43
2024-09-26,LONG,TARGET,0,26045.95,26095.95,42.5,-0.59,1.2,1.79,-3.75,-2.0,1.75,-7.34,-5.75,1.59,-11.32,-10.0,1.32
2024-10-10,LONG,STOP,0,25116.95,25091.95,-7.5,-1.17,2.6,3.76,-4.48,-0.52,3.96,-8.12,-4.32,3.8,-12.02,-8.76,3.26
2024-10-10,SHORT,STOP,0,25043.0,25068.0,-7.5,1.08,4.37,3.29,-2.29,1.61,3.9,-6.14,-2.08,4.06,-10.45,-6.76,3.69
2024-10-14,LONG,STOP,3,25100.2,25075.2,-7.5,-11.88,-10.02,1.86,-13.92,-12.27,1.65,-16.0,-14.62,1.38,-18.12,-17.05,1.07
2024-10-16,LONG,STOP,1,25071.55,25046.55,-7.5,-8.59,-5.79,2.8,-11.11,-8.57,2.54,-13.73,-11.55,2.18,-16.41,-14.69,1.72
2024-10-16,SHORT,TARGET,1,24981.3,24931.3,42.5,-7.39,-6.53,0.86,-10.11,-9.35,0.76,-12.96,-12.32,0.64,-15.93,-15.43,0.5
2024-10-25,SHORT,STOP,6,24250.85,24275.85,-7.5,-14.77,-16.07,-1.31,-16.47,-17.58,-1.12,-18.21,-19.12,-0.91,-20.0,-20.7,-0.69
2024-12-05,SHORT,TARGET,0,24424.45,24374.45,42.5,1.67,3.23,1.56,-1.24,0.47,1.72,-4.88,-3.16,1.71,-9.22,-7.69,1.53
2024-12-10,LONG,STOP,2,24668.95,24643.95,-7.5,-11.13,-8.86,2.27,-13.3,-11.29,2.01,-15.52,-13.83,1.69,-17.77,-16.45,1.31
2024-12-27,LONG,STOP,6,23918.4,23893.4,-7.5,-15.5,-13.99,1.51,-17.0,-15.71,1.29,-18.5,-17.45,1.05,-19.99,-19.19,0.8
