n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,side,passed
44,47.7,1.55,85.1,1.93,2.78,22,45.5,3.82,22,50.0,1.68,g55_30_1000,mtm_16_8,PE,False
44,47.7,1.55,85.1,1.93,2.78,22,45.5,3.82,22,50.0,1.68,g55_35_1000,mtm_16_8,PE,False
36,50.0,1.57,68.7,1.91,2.78,18,50.0,4.26,18,50.0,1.27,g58_22_1000,mtm_16_8,PE,False
36,50.0,1.57,68.7,1.91,2.78,18,50.0,4.26,18,50.0,1.27,g60_22_1000,mtm_16_8,PE,False
35,48.6,1.56,67.0,1.92,2.75,18,50.0,4.26,17,47.1,1.17,g62_22_1000,mtm_16_8,PE,False
35,48.6,1.56,67.0,1.92,2.75,18,50.0,4.26,17,47.1,1.17,g65_22_1000,mtm_16_8,PE,False
40,47.5,1.53,69.7,1.74,2.63,21,42.9,2.89,19,52.6,2.27,g50_18_1000,mtm_16_8,PE,False
47,48.9,1.51,83.2,1.77,2.6,24,50.0,4.08,23,47.8,1.07,g55_x_1000,mtm_16_8,PE,False
40,47.5,1.5,66.5,1.66,2.49,20,45.0,3.55,20,50.0,1.41,g55_22_1000,mtm_16_8,PE,False
39,48.7,1.47,65.6,1.68,2.42,19,47.4,3.27,20,50.0,1.58,g58_25_1000,mtm_16_8,PE,False
39,48.7,1.47,65.6,1.68,2.42,19,47.4,3.27,20,50.0,1.58,g58_28_1000,mtm_16_8,PE,False
39,48.7,1.47,65.6,1.68,2.42,19,47.4,3.27,20,50.0,1.58,g60_25_1000,mtm_16_8,PE,False
39,48.7,1.47,65.6,1.68,2.42,19,47.4,3.27,20,50.0,1.58,g60_28_1000,mtm_16_8,PE,False
38,47.4,1.46,64.0,1.68,2.39,19,47.4,3.27,19,47.4,1.5,g62_25_1000,mtm_16_8,PE,False
38,47.4,1.46,64.0,1.68,2.39,19,47.4,3.27,19,47.4,1.5,g62_28_1000,mtm_16_8,PE,False
38,47.4,1.46,64.0,1.68,2.39,19,47.4,3.27,19,47.4,1.5,g65_25_1000,mtm_16_8,PE,False
38,47.4,1.46,64.0,1.68,2.39,19,47.4,3.27,19,47.4,1.5,g65_28_1000,mtm_16_8,PE,False
47,48.9,1.73,165.1,3.51,2.26,25,44.0,2.1,22,54.5,2.4,g50_30_1000,hold,PE,False
47,48.9,1.73,165.1,3.51,2.26,25,44.0,2.1,22,54.5,2.4,g50_35_1000,hold,PE,False
46,47.8,1.73,155.7,3.38,2.24,23,34.8,0.82,23,60.9,3.15,g62_30_1015,hold,PE,False
46,47.8,1.73,155.7,3.38,2.24,23,34.8,0.82,23,60.9,3.15,g62_35_1015,hold,PE,False
46,47.8,1.73,155.7,3.38,2.24,23,34.8,0.82,23,60.9,3.15,g65_30_1015,hold,PE,False
46,47.8,1.73,155.7,3.38,2.24,23,34.8,0.82,23,60.9,3.15,g65_35_1015,hold,PE,False
47,48.9,1.74,156.3,3.33,2.23,23,34.8,0.82,24,62.5,3.09,g60_30_1015,hold,PE,False
47,48.9,1.74,156.3,3.33,2.23,23,34.8,0.82,24,62.5,3.09,g60_35_1015,hold,PE,False
40,50.0,1.42,69.5,1.74,2.21,20,50.0,3.58,20,50.0,0.86,g58_30_1000,mtm_20_10,PE,False
40,50.0,1.42,69.5,1.74,2.21,20,50.0,3.58,20,50.0,0.86,g58_35_1000,mtm_20_10,PE,False
40,50.0,1.42,69.5,1.74,2.21,20,50.0,3.58,20,50.0,0.86,g60_30_1000,mtm_20_10,PE,False
40,50.0,1.42,69.5,1.74,2.21,20,50.0,3.58,20,50.0,0.86,g60_35_1000,mtm_20_10,PE,False
39,48.7,1.41,67.8,1.74,2.18,20,50.0,3.58,19,47.4,0.77,g62_30_1000,mtm_20_10,PE,False
39,48.7,1.41,67.8,1.74,2.18,20,50.0,3.58,19,47.4,0.77,g62_35_1000,mtm_20_10,PE,False
39,48.7,1.41,67.8,1.74,2.18,20,50.0,3.58,19,47.4,0.77,g65_30_1000,mtm_20_10,PE,False
39,48.7,1.41,67.8,1.74,2.18,20,50.0,3.58,19,47.4,0.77,g65_35_1000,mtm_20_10,PE,False
43,46.5,1.41,63.4,1.47,2.17,21,42.9,2.67,22,50.0,1.68,g55_25_1000,mtm_16_8,PE,False
43,46.5,1.41,63.4,1.47,2.17,21,42.9,2.67,22,50.0,1.68,g55_28_1000,mtm_16_8,PE,False
50,50.0,1.66,159.5,3.19,2.11,27,48.1,2.19,23,52.2,1.97,g50_x_1000,hold,PE,False
36,50.0,1.39,56.9,1.58,2.05,18,50.0,3.39,18,50.0,0.81,g58_22_1000,mtm_20_10,PE,False
36,50.0,1.39,56.9,1.58,2.05,18,50.0,3.39,18,50.0,0.81,g60_22_1000,mtm_20_10,PE,False
47,44.7,1.39,66.3,1.41,2.05,25,40.0,2.34,22,50.0,1.68,g50_30_1000,mtm_16_8,PE,False
47,44.7,1.39,66.3,1.41,2.05,25,40.0,2.34,22,50.0,1.68,g50_35_1000,mtm_16_8,PE,False
35,48.6,1.38,55.2,1.58,2.02,18,50.0,3.39,17,47.1,0.71,g62_22_1000,mtm_20_10,PE,False
35,48.6,1.38,55.2,1.58,2.02,18,50.0,3.39,17,47.1,0.71,g65_22_1000,mtm_20_10,PE,False
50,56.0,1.34,50.5,1.01,2.0,26,53.8,0.84,24,58.3,3.05,g62_x_1015,trail_6_3,PE,False
50,56.0,1.34,50.5,1.01,2.0,26,53.8,0.84,24,58.3,3.05,g65_x_1015,trail_6_3,PE,False
52,57.7,1.34,52.0,1.0,2.0,26,53.8,0.09,26,61.5,3.67,g55_25_1015,trail_6_3,PE,False
52,57.7,1.34,52.0,1.0,2.0,26,53.8,0.09,26,61.5,3.67,g55_28_1015,trail_6_3,PE,False
51,56.9,1.35,51.1,1.0,2.0,26,53.8,0.84,25,60.0,3.03,g60_x_1015,trail_6_3,PE,False
43,55.8,1.38,50.4,1.17,1.99,21,61.9,3.09,22,50.0,1.66,g55_25_1000,trail_8_5,PE,False
43,55.8,1.38,50.4,1.17,1.99,21,61.9,3.09,22,50.0,1.66,g55_28_1000,trail_8_5,PE,False
